分詞,詞性,句法,變調
"物-件｜mih8-kiann7 毋-通｜m7-thang1 掖｜ia7 甲｜kah4 一-四-界｜tsit8-si3-ke3 。｜.
","['Na', 'D', 'VC', 'DE', 'Neqa', 'PUNC']","(ROOT
  (IP
    (VP
      (DFL (VC 物-件｜mih8-kiann7))
      (DFL (VC 毋-通｜m7-thang1))
      (DFL (VC 掖｜ia7))
      (DFL (VC 甲｜kah4))
      (VP (VC 一-四-界｜tsit8-si3-ke3)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"一-旦｜it4-tan3 地-動｜te7-tang7 ，｜, 彼｜hit4 間｜king1 厝｜tshu3 就｜to7 會｜e7 倒｜to2 。｜.
","['Cbb', 'Na', 'PUNC', 'Nep', 'Nf', 'Na', 'D', 'D', 'VA', 'PUNC']","(ROOT
  (IP
    (NP (NN 一-旦｜it4-tan3) (NN 地-動｜te7-tang7))
    (PU ，｜,)
    (VP
      (ADVP (AD 彼｜hit4))
      (VP
        (VV 間｜king1)
        (IP
          (VP
            (ADVP (AD 厝｜tshu3))
            (VP
              (VV 就｜to7)
              (IP (VP (ADVP (AD 會｜e7)) (VP (VV 倒｜to2)))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"做｜tso3 教-授｜kau3-siu7 是｜si7 我｜gua2 一-生｜it4-sing1 的｜e5 願-望｜guan7-bong7 。｜.
","['VC', 'Na', 'SHI', 'Nh', 'Na', 'DE', 'Na', 'PUNC']","(ROOT
  (IP
    (NP
      (NN 做｜tso3)
      (NN 教-授｜kau3-siu7)
      (NN 是｜si7)
      (NN 我｜gua2)
      (NN 一-生｜it4-sing1)
      (NN 的｜e5)
      (NN 願-望｜guan7-bong7))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜li2 毋-通｜m7-thang1 放-蕩｜hong3-tong7 過｜kue3 一-生｜it4-sing1 。｜.
","['Nh', 'D', 'VC', 'VCL', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 你｜li2)
      (IP
        (VP
          (VV 毋-通｜m7-thang1)
          (IP
            (VP
              (VV 放-蕩｜hong3-tong7)
              (IP (VP (VV 過｜kue3) (IP (VP (VV 一-生｜it4-sing1))))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"對｜tui3 厝｜tshu3 到｜kau3 公-司｜kong1-si1 ，｜, 行-路｜kiann5-loo7 一-目-𥍉-仔｜tsit8-bak8-nih4-a2 就｜to7 到-矣｜kau3-ah4 。｜.
","['P', 'Na', 'P', 'Nc', 'PUNC', 'VA', 'D', 'D', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NN 對｜tui3) (NN 厝｜tshu3) (NN 到｜kau3) (NN 公-司｜kong1-si1))
      (PU ，｜,)
      (VP
        (VV 行-路｜kiann5-loo7)
        (AS 一-目-𥍉-仔｜tsit8-bak8-nih4-a2)
        (SP 就｜to7))
      (SP 到-矣｜kau3-ah4))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜i1 講-過｜kong2-kue3 的｜e5 話｜ue7 ，｜, 一-定｜it4-ting7 會-記-得｜e7-ki3-tit4 。｜.
","['Nh', 'VE', 'DE', 'Na', 'PUNC', 'D', 'VK', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 伊｜i1)
      (IP
        (VP
          (VV 講-過｜kong2-kue3)
          (IP
            (VP
              (VV 的｜e5)
              (IP
                (VP
                  (VV 話｜ue7)
                  (IP
                    (VP
                      (VV ，｜,)
                      (IP
                        (VP
                          (VCD
                            (VV 一-定｜it4-ting7)
                            (VV 會-記-得｜e7-ki3-tit4)))))))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '本調#', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"咱｜lan2 愛｜ai3 有｜u7 一-定｜it4-ting7 的｜e5 頭-路｜thau5-loo7 ，｜, 生-活｜sing1-uah8 才｜tsiah4 袂｜be7 傷｜siunn1 艱-苦｜kan1-khoo2 。｜.
","['Nh', 'D', 'V_2', 'D', 'DE', 'Na', 'PUNC', 'Na', 'Da', 'D', 'Dfa', 'VHC', 'PUNC']","(ROOT
  (IP
    (NP
      (NP (NN 咱｜lan2) (NN 愛｜ai3) (NN 有｜u7) (NN 一-定｜it4-ting7))
      (NP (NN 的｜e5) (NN 頭-路｜thau5-loo7)))
    (PU ，｜,)
    (NP (NN 生-活｜sing1-uah8) (NN 才｜tsiah4) (NN 袂｜be7) (NN 傷｜siunn1))
    (VP (VA 艱-苦｜kan1-khoo2))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"一-直｜it4-tit8 向｜hiong3 前｜tsing5 行｜kiann5 ，｜, 毋-免｜m7-bian2 轉-斡｜tng2-uat4 。｜.
","['D', 'P', 'Ng', 'VA', 'PUNC', 'D', 'VA', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (NT 一-直｜it4-tit8)
        (NT 向｜hiong3)
        (NT 前｜tsing5)
        (NT 行｜kiann5))
      (PU ，｜,)
      (VP (VRD (VV 毋-免｜m7-bian2) (VV 轉-斡｜tng2-uat4))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"阿-美｜a1-bi2 一-直｜it4-tit8 咧｜teh4 掃｜sau3 塗-跤｜thoo5-kha1 ，｜, 攏｜long2 無｜bo5 歇-睏｜hioh4-khun3 。｜.
","['Nb', 'D', 'P', 'VA', 'Na', 'PUNC', 'D', 'D', 'VA', 'PUNC']","(ROOT
  (IP
    (VP
      (VP
        (VV 阿-美｜a1-bi2)
        (IP
          (VP
            (VV 一-直｜it4-tit8)
            (IP
              (VP
                (VV 咧｜teh4)
                (IP (VP (VSB (VV 掃｜sau3) (VV 塗-跤｜thoo5-kha1)))))))))
      (PU ，｜,)
      (VP (VV 攏｜long2) (IP (VP (VV 無｜bo5) (VV 歇-睏｜hioh4-khun3)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜i1 對｜tui3 伊｜i1 的｜e5 學-生｜hak8-sing1 一-律｜it4-lut8 攏｜long2 真｜tsin1 嚴-格｜giam5-keh4 。｜.
","['Nh', 'P', 'Nh', 'DE', 'Na', 'D', 'D', 'Dfa', 'VH', 'PUNC']","(ROOT
  (IP
    (NP
      (NP (NN 伊｜i1))
      (DNP (PP (P 對｜tui3) (NP (NN 伊｜i1))) (DEG 的｜e5))
      (NP (NN 學-生｜hak8-sing1)))
    (VP
      (VP (ADVP (AD 一-律｜it4-lut8)) (VP (VV 攏｜long2)))
      (VP (ADVP (AD 真｜tsin1)) (VP (VA 嚴-格｜giam5-keh4))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜i1 佮｜kah4 我｜gua2 的｜e5 看-法｜khuann3-huat4 並｜ping7 無｜bo5 一-致｜it4-ti3 。｜.
","['Nh', 'P', 'Nh', 'DE', 'Na', 'D', 'D', 'VH', 'PUNC']","(ROOT
  (IP
    (NP
      (CP
        (CP (IP (NP (NN 伊｜i1)) (VP (VV 佮｜kah4))) (DEC 我｜gua2))
        (DEC 的｜e5))
      (NP (NN 看-法｜khuann3-huat4)))
    (VP (ADVP (AD 並｜ping7)) (ADVP (AD 無｜bo5)) (VP (VA 一-致｜it4-ti3)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜i1 一-面｜tsit8-bin7 做-工｜tso3-kang1 ，｜, 一-面｜tsit8-bin7 讀-冊｜thak8-tsheh4 。｜.
","['Nh', 'D', 'VA', 'PUNC', 'D', 'VA', 'PUNC']","(ROOT
  (IP
    (NP (NN 伊｜i1) (NN 一-面｜tsit8-bin7))
    (VP
      (VP (VV 做-工｜tso3-kang1))
      (PU ，｜,)
      (VP (VV 一-面｜tsit8-bin7) (IP (VP (VV 讀-冊｜thak8-tsheh4)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"一-面｜tsit8-bin7 抹-壁｜buah4-piah4 雙-面｜siang1-bin7 光｜kng1 。｜.
","['D', 'D', 'D', 'VH', 'PUNC']","(ROOT
  (IP
    (VP
      (ADVP (AD 一-面｜tsit8-bin7))
      (PU 抹-壁｜buah4-piah4)
      (VP (VA 雙-面｜siang1-bin7) (NP (NN 光｜kng1))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"毋-通｜m7-thang1 逐｜tak8 工｜kang1 鬱｜ut4 佇｜ti7 遐｜hia1 若｜na2 一-垺-屎｜tsit8-pu5-sai2 。｜.
","['D', 'Nes', 'Nf', 'VA', 'P', 'Ncd', 'VG', 'Neu', 'PUNC']","(ROOT
  (IP
    (NP (NN 毋-通｜m7-thang1))
    (VP
      (VV 逐｜tak8)
      (NP (NN 工｜kang1))
      (IP
        (VP
          (VV 鬱｜ut4)
          (IP
            (NP (NN 佇｜ti7) (NN 遐｜hia1))
            (VP (ADVP (CS 若｜na2)) (VP (NN 一-垺-屎｜tsit8-pu5-sai2)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜i1 食｜tsiah8 一-屑-仔｜tsit8-sut4-a2 飯｜png7 爾-爾｜nia7-nia7 。｜.
","['Nh', 'VC', 'Neqa', 'Na', 'T', 'PUNC']","(ROOT
  (IP
    (VP
      (ADVP (AD 伊｜i1))
      (ADVP (AD 食｜tsiah8))
      (ADVP (AD 一-屑-仔｜tsit8-sut4-a2))
      (VP (ADVP (AD 飯｜png7)) (ADVP (AD 爾-爾｜nia7-nia7))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"一-般｜it4-puann1 人｜lang5 攏｜long2 真｜tsin1 愛｜ai3 面-子｜bin7-tsu2 。｜.
","['Na', 'Na', 'D', 'Dfa', 'D', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (NP
        (NN 一-般｜it4-puann1)
        (NN 人｜lang5)
        (NN 攏｜long2)
        (NN 真｜tsin1)
        (NN 愛｜ai3)
        (NN 面-子｜bin7-tsu2)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"這｜tsit4 擺｜pai2 欲｜beh4 替｜the3 伊｜i1 開-刀｜khui1-to1 的｜e5 醫-生｜i1-sing1 攏｜long2 是｜si7 一-粒-一-的｜it4-liap8-it4-e5 。｜.
","['Nep', 'Nf', 'D', 'P', 'Nh', 'VB', 'DE', 'Na', 'D', 'SHI', 'Na', 'PUNC']","(ROOT
  (IP
    (DEG 這｜tsit4)
    (VP
      (NP
        (CP
          (IP
            (VP
              (VP (VV 擺｜pai2) (NP (NN 欲｜beh4)))
              (VP
                (P 替｜the3)
                (NP
                  (CP
                    (CP
                      (IP (NP (NR 伊｜i1)) (VP (VV 開-刀｜khui1-to1)))
                      (DEC 的｜e5))
                    (DEC 醫-生｜i1-sing1)
                    (DFL (DEC 攏｜long2) (DEC 是｜si7)))))))
          (SP 一-粒-一-的｜it4-liap8-it4-e5))))
    (PU 。｜.)))","['規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '本調#', '毋是台語']"
"阿-英｜a1-ing1 佮｜kah4 我｜gua2 是｜si7 一-粒-一-的｜it4-liap8-it4-e5 。｜.
","['Nb', 'P', 'Nh', 'SHI', 'Na', 'PUNC']","(ROOT
  (IP
    (NP
      (NN 阿-英｜a1-ing1)
      (NN 佮｜kah4)
      (NN 我｜gua2)
      (NN 是｜si7)
      (NN 一-粒-一-的｜it4-liap8-it4-e5))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '本調#', '毋是台語']"
"伊｜i1 跤-手｜kha1-tshiu2 真｜tsin1 緊｜kin2 ，｜, 穡-頭｜sit4-thau5 一-睏-仔｜tsit8-khun3-a2 就｜to7 做｜tso3 了-矣｜liau2-ah4 。｜.
","['Nh', 'Na', 'Dfa', 'D', 'PUNC', 'Na', 'Nd', 'D', 'VC', 'Na', 'PUNC']","(ROOT
  (IP
    (CP
      (IP
        (VP
          (VP
            (ADVP (AD 伊｜i1))
            (ADVP (AD 跤-手｜kha1-tshiu2))
            (ADVP (AD 真｜tsin1))
            (VP (VA 緊｜kin2)))
          (PU ，｜,)
          (VP (VV 穡-頭｜sit4-thau5) (AS 一-睏-仔｜tsit8-khun3-a2))
          (SP 就｜to7)))
      (SP 做｜tso3)
      (SP 了-矣｜liau2-ah4))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"遮｜tsia1 的｜e5 物-件｜mih8-kiann7 伊｜i1 做｜tso3 一-睏-仔｜tsit8-khun3-a2 共｜ka7 伊｜i1 食-了｜tsiah8-liau2 。｜.
","['Ncd', 'DE', 'Na', 'Nh', 'VC', 'Nd', 'P', 'Nh', 'VC', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (PN 遮｜tsia1))
      (VP
        (VP
          (VP (VV 的｜e5) (NP (NN 物-件｜mih8-kiann7)))
          (VP (VV 伊｜i1) (NP (NN 做｜tso3))))
        (VP
          (ADVP (AD 一-睏-仔｜tsit8-khun3-a2))
          (VP (VRD (VV 共｜ka7) (VV 伊｜i1)) (SP 食-了｜tsiah8-liau2)))))
    (PU 。｜.)))","['本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"所-有｜soo2-u7 的｜e5 公-民｜kong1-bin5 一-概｜it4-khai3 攏｜long2 愛｜ai3 盡｜tsin7 義-務｜gi7-bu7 。｜.
","['Neqa', 'DE', 'Na', 'Neqa', 'D', 'D', 'VJ', 'Na', 'PUNC']","(ROOT
  (IP
    (DP (DT 所-有｜soo2-u7))
    (VP
      (VP (VV 的｜e5) (NP (NN 公-民｜kong1-bin5)))
      (VP
        (ADVP (AD 一-概｜it4-khai3))
        (VP
          (VV 攏｜long2)
          (IP
            (VP
              (VV 愛｜ai3)
              (IP (VP (VV 盡｜tsin7) (NP (NN 義-務｜gi7-bu7)))))))))
    (PU 。｜.)))","['規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"祝｜tsiok4 恁｜lin2 一-路｜tsit8-loo7 平-安｜ping5-an1 。｜.
","['VE', 'Nh', 'D', 'VH', 'PUNC']","(ROOT
  (IP
    (NP (NR 祝｜tsiok4))
    (VP
      (ADVP (AD 恁｜lin2))
      (VP (VV 一-路｜tsit8-loo7) (NP (NN 平-安｜ping5-an1))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"加-減｜ke1-kiam2 食-一-寡｜tsiah8-tsit8-kua2 。｜.
","['Neqa', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (QP (QP (CD 加-減｜ke1-kiam2)) (QP (CD 食-一-寡｜tsiah8-tsit8-kua2))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
