分詞,詞性,句法,變調
"十-八｜Tsa̍p-peh 歲｜huè 到｜kàu 臺-南｜tâi-lâm 讀｜tha̍k 大-學｜tāi-ha̍k ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (VP
        (QP (CD 十-八｜Tsa̍p-peh) (CLP (M 歲｜huè)))
        (VP
          (VP (CC 到｜kàu) (NP (NR 臺-南｜tâi-lâm)))
          (VP (VV 讀｜tha̍k) (NP (NN 大-學｜tāi-ha̍k))))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"開-始｜Khai-sí 向｜m̄ 北｜pa̍k 遷｜tshian 徙｜suá
","['Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (ADVP (AD 開-始｜Khai-sí))
      (PP (P 向｜m̄) (NP (NN 北｜pa̍k)))
      (VP (VV 遷｜tshian) (NP (NN 徙｜suá))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"離｜Lí 故-鄉｜kòo-hiong 愈｜tú 來｜lâi 愈｜lú 遠｜hn̄g
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (PP (P 離｜Lí) (NP (NN 故-鄉｜kòo-hiong)))
      (VP
        (VP (ADVP (AD 愈｜tú)) (VP (VV 來｜lâi)))
        (VP (ADVP (AD 愈｜lú)) (VP (VA 遠｜hn̄g)))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"先｜Sing 熟-似｜si̍k-sāi 阿-美｜a-bí 族｜tso̍k 的｜ê 少-年｜siàu-liân ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (ADVP (AD 先｜Sing))
      (VP
        (VV 熟-似｜si̍k-sāi)
        (NP
          (DNP (NP (NP (NR 阿-美｜a-bí)) (NP (NN 族｜tso̍k))) (DEG 的｜ê))
          (NP (NN 少-年｜siàu-liân)))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"註-定｜Tsù-tiānn 我｜guá 盤-山-過-嶺｜puânn-suann-kuè-niá 和｜hâm 原-住-民｜guân-tsū-bîn 的｜ê 緣｜iân ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VV 註-定｜Tsù-tiānn)
      (NP
        (DNP
          (NP
            (NP (PN 我｜guá) (NN 盤-山-過-嶺｜puânn-suann-kuè-niá))
            (CC 和｜hâm)
            (NP (NN 原-住-民｜guân-tsū-bîn)))
          (DEG 的｜ê))
        (NP (NN 緣｜iân))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '本調#', '毋是台語']"
"畢｜Pit 業｜gia̍h 愛｜ài 做｜tsò 老｜láu 師｜su
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (VP (VV 畢｜Pit) (NP (NN 業｜gia̍h)))
      (VP
        (VV 愛｜ài)
        (IP (VP (VV 做｜tsò) (NP (ADJP (JJ 老｜láu)) (NP (NN 師｜su)))))))))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"隨｜Suî 考-牢｜khó-tiâu 霧｜bū 社｜siā 的｜ê 仁｜jîn 愛｜ài 國-中｜kok-tiong
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (VP
      (PP
        (P 隨｜Suî)
        (NP
          (DNP (NP (NN 考-牢｜khó-tiâu) (NN 霧｜bū) (NN 社｜siā)) (DEG 的｜ê))
          (NP (NN 仁｜jîn))))
      (VP (VV 愛｜ài) (NP (NN 國-中｜kok-tiong))))))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '本調#']"
"教｜Kà Atayal｜Atayal Bunun｜Bunun Truku｜Truku Seediq｜Seediq 的｜ê 囡-仔｜gín-á 講｜kóng 英-語｜ing-gí ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (CP
      (IP
        (VP
          (VV 教｜Kà)
          (NP
            (NP (ADJP (JJ Atayal｜Atayal)) (NP (NN Bunun｜Bunun)))
            (NP (NR Truku｜Truku) (NR Seediq｜Seediq)))))
      (DEG 的｜ê))
    (IP
      (VP (NP (NR 囡-仔｜gín-á)) (VP (VV 講｜kóng) (NP (NN 英-語｜ing-gí)))))
    (PU ，｜,)))","['規則變調', '毋是台語', '毋是台語', '毋是台語', '毋是台語', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"遐｜Siá 的｜ê 記-持｜kì-tî 。｜.
","['Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP (NP (CP (IP (VP (VV 遐｜Siá))) (DEC 的｜ê)) (NP (NN 記-持｜kì-tî))))
    (PU 。｜.)))","['本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"青｜Tshing 山｜san 綠｜li̍k 水｜suí ，｜,
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (FRAG
    (NP
      (NP (ADJP (JJ 青｜Tshing)) (NP (NN 山｜san)))
      (ADJP (JJ 綠｜li̍k))
      (NP (NN 水｜suí)))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"空-氣｜Khong-khì ，｜, 一-世-人｜Tsi̍t-sì-lâng 想｜siūnn 來｜lâi 攏｜lóng 足｜tsiok 媠｜suí ，｜,
","['Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 空-氣｜Khong-khì))
    (PU ，｜,)
    (NP (NN 一-世-人｜Tsi̍t-sì-lâng))
    (VP
      (VV 想｜siūnn)
      (IP
        (VP (VV 來｜lâi) (VP (VV 攏｜lóng) (NP (NN 足｜tsiok) (NN 媠｜suí))))))
    (PU ，｜,)))","['規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"調｜Tiau 來｜lâi 臺-北｜tâi-pak 新｜sin 店｜tiàm 教-冊｜kà-tsheh ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VRD (VV 調｜Tiau) (VV 來｜lâi))
      (IP
        (NP (NP (NR 臺-北｜tâi-pak)) (ADJP (JJ 新｜sin)) (NP (NN 店｜tiàm)))
        (VP (VV 教-冊｜kà-tsheh))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"有｜Ū 袂｜bē 少｜tsió 原-住-民｜guân-tsū-bîn 的｜ê 學-生｜ha̍k-sing ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (VE 有｜Ū)
      (NP
        (DNP
          (NP
            (NP (NN 袂｜bē))
            (NP (ADVP (AD 少｜tsió)) (NP (NN 原-住-民｜guân-tsū-bîn))))
          (DEG 的｜ê))
        (NP (NN 學-生｜ha̍k-sing))))
    (PU ，｜,)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"因｜In 為｜uî 有｜ū 特-別-的｜ti̍k-pia̍t-ê 感-情｜kám-tsîng ，｜,
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (PP
    (P 因｜In)
    (IP
      (PP
        (P 為｜uî)
        (IP
          (VP
            (VE 有｜ū)
            (FLR (DEC 特-別-的｜ti̍k-pia̍t-ê))
            (NP (NN 感-情｜kám-tsîng)))))
      (PU ，｜,))))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
