分詞,詞性,句法,變調
"伊｜I 毋｜m̄ 是｜sī 應｜ìn 好｜hó 伊｜i 欲｜beh 參-加｜tsham-ka 比-賽｜pí-sài ？｜?
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (VP
      (ADVP (AD 毋｜m̄))
      (VP
        (VC 是｜sī)
        (VP
          (VV 應｜ìn)
          (IP
            (ADVP (AD 好｜hó))
            (NP (NR 伊｜i))
            (VP
              (VV 欲｜beh)
              (VP (VV 參-加｜tsham-ka) (NP (NN 比-賽｜pí-sài))))))))
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 若｜nā 毋｜m̄ 去｜khì 就｜tō 莫｜mài 共｜kā 勉-強｜bián-kióng 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (VP
      (IP (VP (ADVP (CS 若｜nā)) (ADVP (AD 毋｜m̄)) (VP (VV 去｜khì))))
      (VP
        (ADVP (AD 就｜tō))
        (ADVP (AD 莫｜mài))
        (ADVP (AD 共｜kā))
        (VP (AD 勉-強｜bián-kióng))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"你｜Lí 攏｜lóng 毋｜m̄ 認-真｜jīn-tsin 讀-冊｜tha̍k-tsheh 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 你｜Lí))
    (VP
      (VV 攏｜lóng)
      (IP
        (VP
          (ADVP (AD 毋｜m̄))
          (ADVP (AD 認-真｜jīn-tsin))
          (VP (NN 讀-冊｜tha̍k-tsheh)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"毋｜M̄ 好-好-仔｜hó-hó-á 拍-拚｜phah-piànn 趁-錢｜thàn-tsînn ，｜, 以-後｜í-āu nài｜nài 綴｜tuè 人｜lâng 會｜ē 著｜tio̍h ？｜?
","['Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (ADVP (AD 毋｜M̄))
      (NP (NN 好-好-仔｜hó-hó-á))
      (VP (VV 拍-拚｜phah-piànn) (NP (NN 趁-錢｜thàn-tsînn))))
    (PU ，｜,)
    (IP
      (ADVP (AD 以-後｜í-āu))
      (NP (NR nài｜nài))
      (VP
        (VV 綴｜tuè)
        (IP (NP (NN 人｜lâng)) (VP (VV 會｜ē) (AS 著｜tio̍h)))))
    (PU ？｜?)))","['規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"莫｜Mài 閣｜koh 佮｜kah 我｜guá 囉-嗦｜lo-so 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (ADVP (AD 莫｜Mài))
    (NP (NN 閣｜koh))
    (VP (VV 佮｜kah) (NP (NP (PN 我｜guá)) (NP (NN 囉-嗦｜lo-so))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"暫-時｜Tsiām-sî 莫｜mài 佮｜kah 我｜guá 講-話｜kóng-uē 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (ADVP (AD 暫-時｜Tsiām-sî))
      (ADVP (AD 莫｜mài))
      (VP (VV 佮｜kah) (IP (NP (PN 我｜guá)) (VP (VV 講-話｜kóng-uē)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 行｜kiânn 無｜bô 幾｜kuí 步｜pōo 路｜lōo 就｜tō 喝｜huah 跤｜kha 痠｜sng 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NR 伊｜I))
      (VP
        (VP
          (VV 行｜kiânn)
          (IP
            (VP
              (VE 無｜bô)
              (NP (QP (CD 幾｜kuí) (CLP (M 步｜pōo))) (NP (NN 路｜lōo))))))
        (VP
          (ADVP (AD 就｜tō))
          (VP (VV 喝｜huah) (NP (NN 跤｜kha) (NN 痠｜sng))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"我｜Guá 物-件｜mi̍h-kiānn 食｜tsia̍h 袂｜bē 了｜liáu 欲｜beh 按-怎｜án-tsuánn ？｜? 敢｜Kám 會-使｜ē-sái 提-去｜the̍h-khì 冰｜ping ？｜?
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NP (PN 我｜Guá)) (NP (NN 物-件｜mi̍h-kiānn)))
    (VP
      (VP
        (VV 食｜tsia̍h)
        (IP
          (VP
            (VV 袂｜bē)
            (AS 了｜liáu)
            (IP (VP (VV 欲｜beh) (ADVP (AD 按-怎｜án-tsuánn)))))))
      (PU ？｜?)
      (VP
        (VV 敢｜Kám)
        (VP
          (VV 會-使｜ē-sái)
          (IP (VP (VV 提-去｜the̍h-khì) (NP (NN 冰｜ping)))))))
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '本調#', '毋是台語']"
"伊｜I 無｜bô 看｜khuànn 電-視｜tiān-sī 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NR 伊｜I))
      (VP (VE 無｜bô) (VP (VV 看｜khuànn) (NP (NN 電-視｜tiān-sī)))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 看｜khuànn 無｜bô 電-視｜tiān-sī 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (VP (VV 看｜khuànn) (VP (VE 無｜bô) (NP (NN 電-視｜tiān-sī))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 無｜bô 電-視｜tiān-sī 看｜khuànn 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (VP (VP (VE 無｜bô) (NP (NN 電-視｜tiān-sī))) (VP (VV 看｜khuànn)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 看｜khuànn 電-視｜tiān-sī 無｜bô 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (VP (VV 看｜khuànn) (IP (NP (NN 電-視｜tiān-sī)) (VP (VE 無｜bô))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 看｜khuànn 電-視-無｜tiān-sī-bô ？｜?
","['Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (VP (VP (VV 看｜khuànn)) (VP (VE 電-視-無｜tiān-sī-bô)))
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"阿-共-仔｜A-kiōng-á 袂｜bē 拍-過-來｜phah-kuè-lâi 。｜.
","['Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 阿-共-仔｜A-kiōng-á))
    (VP (VRD (VV 袂｜bē) (VV 拍-過-來｜phah-kuè-lâi)))
    (PU 。｜.)))","['規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"阿-陸-仔｜A-la̍k-á 拍｜phah 袂｜bē kuài｜kuài 。｜.
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 阿-陸-仔｜A-la̍k-á))
    (VP (VV 拍｜phah) (NP (NN 袂｜bē) (NN kuài｜kuài)))
    (PU 。｜.)))","['規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 請｜tshiánn 我｜guá 無｜bô 兩｜nn̄g 擺｜pái 就｜tō 反-悔-矣｜huán-hué-ah 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (VP
      (VV 請｜tshiánn)
      (NP (PN 我｜guá))
      (CP
        (VE 無｜bô)
        (IP (QP (CD 兩｜nn̄g)) (VP (VV 擺｜pái)))
        (ADVP (AD 就｜tō))
        (SP 反-悔-矣｜huán-hué-ah)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"這｜Tsit 條｜tiâu 面-巾｜bīn-kin 用｜iōng 無｜bô 兩｜nn̄g 三｜sann 工｜kang 就｜tō 有｜ū 臭-汗-酸｜tshàu-kuānn-sng 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (DP (DT 這｜Tsit) (CLP (M 條｜tiâu))) (NP (NN 面-巾｜bīn-kin)))
    (VP
      (PP
        (P 用｜iōng)
        (IP
          (VP
            (VE 無｜bô)
            (NP (QP (CD 兩｜nn̄g)) (QP (CD 三｜sann)) (NP (NN 工｜kang))))))
      (ADVP (AD 就｜tō))
      (VP (VE 有｜ū) (NP (NN 臭-汗-酸｜tshàu-kuānn-sng))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"舊-年｜Kū-nî 規-家-伙-仔｜kui-ke-hué-á 攏｜lóng 無｜bô 佇｜tī 台-北｜Tâi-pak 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 舊-年｜Kū-nî) (NN 規-家-伙-仔｜kui-ke-hué-á))
    (VP
      (VP (VP (VV 攏｜lóng)) (VP (VE 無｜bô) (NP (NN 佇｜tī))))
      (VP (NP (NR 台-北｜Tâi-pak))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"咱｜Lán 今-年｜kin-nî 規-家-伙-仔｜kui-ke-hué-á 攏｜lóng 佇｜tī 台-北｜Tâi-pak 。｜。
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na']","(ROOT
  (IP
    (NP (PN 咱｜Lán))
    (NP (NT 今-年｜kin-nî) (NN 規-家-伙-仔｜kui-ke-hué-á))
    (VP (VV 攏｜lóng) (IP (VP (VV 佇｜tī) (NP (NR 台-北｜Tâi-pak)))))
    (PU 。｜。)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"我｜Guá 無｜bô 想-著｜siūnn-tio̍h 會｜ē 發-生｜huat-sing 這｜tsit 款｜khuán 悲-劇｜pi-kio̍k 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 我｜Guá))
    (VP
      (VE 無｜bô)
      (IP
        (NP (VV 想-著｜siūnn-tio̍h))
        (VP
          (VV 會｜ē)
          (VP
            (VV 發-生｜huat-sing)
            (NP
              (DP (DT 這｜tsit) (CLP (M 款｜khuán)))
              (NP (NN 悲-劇｜pi-kio̍k)))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"我｜Guá 無｜bô 想-著｜siūnn-tio̍h 講｜kóng 會｜ē 因-為｜in-uī 著｜tio̍h 我｜guá ，｜, 發-生｜huat-sing 這｜tsit 款｜khuán 悲-劇｜pi-kio̍k 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 我｜Guá))
    (VP
      (VE 無｜bô)
      (IP
        (IP (NP (VV 想-著｜siūnn-tio̍h)) (VP (VV 講｜kóng)))
        (VP
          (VV 會｜ē)
          (PP
            (P 因-為｜in-uī)
            (IP
              (IP (VP (VV 著｜tio̍h) (NP (PN 我｜guá))))
              (PU ，｜,)
              (VP
                (VV 發-生｜huat-sing)
                (NP
                  (DP (DT 這｜tsit) (CLP (M 款｜khuán)))
                  (NP (NN 悲-劇｜pi-kio̍k)))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"因-為｜In-uī 你｜lí ，｜, 害｜hāi 我｜guá 昨-暝｜tsa-mê 睏｜khùn 無｜bô 好｜hó 。｜.
","['Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (VP
      (PP
        (P 因-為｜In-uī)
        (IP
          (DFL (PN 你｜lí))
          (PU ，｜,)
          (VP
            (VV 害｜hāi)
            (NP (PN 我｜guá))
            (IP
              (VP
                (VV 昨-暝｜tsa-mê)
                (IP
                  (VP
                    (ADVP (AD 睏｜khùn))
                    (VP (VE 無｜bô) (NP (VA 好｜hó)))))))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"我｜Guá tsa̋ng｜tsa̋ng 無｜bô 烏-白｜oo-pe̍h 亂｜luān 食｜tsia̍h 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 我｜Guá))
    (VP
      (ADVP (AD tsa̋ng｜tsa̋ng))
      (VP
        (VE 無｜bô)
        (IP
          (NP (NR 烏-白｜oo-pe̍h))
          (VP (ADVP (AD 亂｜luān)) (VP (VV 食｜tsia̍h))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"我｜Guá peh｜peh 無｜bô 遮｜tsiah 懸｜kuân 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (PN 我｜Guá))
    (VP
      (ADVP (AD peh｜peh))
      (VP (VE 無｜bô) (VP (VV 遮｜tsiah) (IP (VP (VV 懸｜kuân))))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"佇｜Tī 學-校｜ha̍k-hāu 交｜kau 無｜bô 朋-友｜pîng-iú 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NP (NR 佇｜Tī)) (NP (NN 學-校｜ha̍k-hāu)))
    (VP (VV 交｜kau) (VP (VE 無｜bô) (NP (NN 朋-友｜pîng-iú))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"黃-先-生｜N̂g-sian-sinn 有｜ū 佇-咧-無｜tī-leh-bô ？｜?
","['Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 黃-先-生｜N̂g-sian-sinn))
    (VP (VE 有｜ū) (NP (NN 佇-咧-無｜tī-leh-bô)))
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '本調#', '毋是台語']"
"敢-講｜Kám-kóng 你｜lí 已-經｜í-king 無｜bô 愛-我-矣｜ài-guá-ah ？｜?
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 敢-講｜Kám-kóng))
    (NP (PN 你｜lí))
    (VP (ADVP (AD 已-經｜í-king)) (VP (VE 無｜bô) (SP 愛-我-矣｜ài-guá-ah)))
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 毋｜m̄ 聽｜thiann 就｜tō 是｜sī 毋｜m̄ 聽｜thiann ，｜, 咱｜lán 嘛｜mā 無-伊-法｜bô-i-huat 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (NP (NR 伊｜I))
      (VP
        (VP (ADVP (AD 毋｜m̄)) (VP (VV 聽｜thiann)))
        (VP
          (ADVP (AD 就｜tō))
          (VP (VC 是｜sī) (VP (ADVP (AD 毋｜m̄)) (VP (VV 聽｜thiann)))))))
    (PU ，｜,)
    (NP (NP (PN 咱｜lán)) (SP 嘛｜mā) (NP (NN 無-伊-法｜bô-i-huat)))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"拄-才｜Tú-tsiah 地-動｜tē-tāng 偌｜guā 大-咧｜tuā-leh ，｜, 你｜lí 毋｜m̄ 緊｜kín 覕｜bih 佇｜tī 桌-仔-跤｜toh-á-kha 是｜sī 咧｜leh 想｜siūnn 啥｜siannh ？｜?
","['Na', 'Na', 'Na', 'Na', 'PUNC', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (IP
      (ADVP (AD 拄-才｜Tú-tsiah))
      (NP (NN 地-動｜tē-tāng))
      (VP (VV 偌｜guā) (NP (NN 大-咧｜tuā-leh))))
    (PU ，｜,)
    (IP
      (IP
        (NP (PN 你｜lí))
        (VP
          (ADVP (AD 毋｜m̄))
          (ADVP (AD 緊｜kín))
          (VP (VV 覕｜bih) (NP (NN 佇｜tī) (NN 桌-仔-跤｜toh-á-kha)))))
      (VP
        (VC 是｜sī)
        (VP (ADVP (AD 咧｜leh)) (VP (VV 想｜siūnn) (NP (PN 啥｜siannh))))))
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '再變調$', '毋是台語', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '仔前變調&', '規則變調', '本調#', '規則變調', '再變調$', '規則變調', '本調#', '毋是台語']"
"索-仔｜Soh-á 呔｜thài 毋｜m̄ 斷｜tn̄g ？｜?
","['Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 索-仔｜Soh-á))
    (VP (VV 呔｜thài) (IP (VP (ADVP (AD 毋｜m̄)) (VP (VV 斷｜tn̄g)))))
    (PU ？｜?)))","['仔前變調&', '本調#', '規則變調', '規則變調', '本調#', '毋是台語']"
"索-仔｜Soh-á 呔｜thài 會｜ē 無｜bô 斷｜tn̄g ？｜?
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 索-仔｜Soh-á))
    (VP
      (ADVP (AD 呔｜thài))
      (VP (VV 會｜ē) (VP (VE 無｜bô) (NP (VV 斷｜tn̄g)))))
    (PU ？｜?)))","['仔前變調&', '本調#', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"警-察｜Kíng-tshat 哪｜ná 會｜ē 毋｜m̄ 放｜pàng 人｜lâng ？｜?
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NN 警-察｜Kíng-tshat))
    (VP
      (ADVP (AD 哪｜ná))
      (VP
        (VV 會｜ē)
        (VP (ADVP (AD 毋｜m̄)) (VP (VV 放｜pàng) (NP (NN 人｜lâng))))))
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"恁｜Lín 翁｜ang 哪｜ná 會｜ē 毋｜m̄ 放｜pàng 人｜lâng ？｜?
","['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (ADVP (AD 恁｜Lín))
    (NP (NP (NR 翁｜ang)) (NP (PN 哪｜ná)))
    (VP
      (VV 會｜ē)
      (VP (ADVP (AD 毋｜m̄)) (VP (VV 放｜pàng) (NP (NN 人｜lâng)))))
    (PU ？｜?)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
"伊｜I 毋｜m̄ 捌｜bat 來-過｜lâi-kuè 韓-國｜Hân-kok 。｜.
","['Na', 'Na', 'Na', 'Na', 'Na', 'PUNC']","(ROOT
  (IP
    (NP (NR 伊｜I))
    (VP
      (ADVP (AD 毋｜m̄))
      (VP (VV 捌｜bat) (AS 來-過｜lâi-kuè) (NP (NR 韓-國｜Hân-kok))))
    (PU 。｜.)))","['規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '規則變調', '本調#', '毋是台語']"
